Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Mon Sep 25 15:38:35 2023
| Host         : scope running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_datasheet -show_all_corners -name timing_4 -file /home/scope/Desktop/hdmi/InAS_without_hdmi/vivado_proj/timing_report.txt
| Design       : design_1_wrapper
| Device       : 7z020-clg400
| Speed File   : -1  PRODUCTION 1.11 2014-09-11
--------------------------------------------------------------------------------------------------------------------------------------------------

Data Sheet Report

Input Ports Setup/Hold

-----------+--------------+-----------+-------+---------------+---------+---------------+---------+----------+
Reference  | Input        | IO Reg    | Delay |     Setup(ns) | Process |      Hold(ns) | Process | Internal |
gpio_tri_o[25]     |   6.906 (r) | SLOW    |   6.037 (r) | SLOW    |    0.081 |
gpio_tri_o[25]     |   2.999 (r) | FAST    |   2.260 (r) | FAST    |    0.081 |
gpio_tri_o[26]     |   6.831 (r) | SLOW    |   5.962 (r) | SLOW    |    0.005 |
gpio_tri_o[26]     |   2.923 (r) | FAST    |   2.185 (r) | FAST    |    0.005 |
gpio_tri_o[27]     |   6.826 (r) | SLOW    |   5.957 (r) | SLOW    |    0.000 |
gpio_tri_o[27]     |   2.918 (r) | FAST    |   2.180 (r) | FAST    |    0.000 |
gpio_tri_o[28]     |   6.927 (r) | SLOW    |   6.058 (r) | SLOW    |    0.102 |
gpio_tri_o[28]     |   3.020 (r) | FAST    |   2.281 (r) | FAST    |    0.102 |
gpio_tri_o[29]     |   6.927 (r) | SLOW    |   6.058 (r) | SLOW    |    0.102 |
gpio_tri_o[29]     |   3.020 (r) | FAST    |   2.281 (r) | FAST    |    0.102 |
gpio_tri_o[30]     |   6.930 (r) | SLOW    |   6.061 (r) | SLOW    |    0.105 |
gpio_tri_o[30]     |   3.023 (r) | FAST    |   2.284 (r) | FAST    |    0.105 |
-------------------+-------------+---------+-------------+---------+----------+
Worst Case Summary |   6.960 (r) | SLOW    |   5.957 (r) | SLOW    |    0.135 |
Worst Case Summary |   3.053 (r) | FAST    |   2.180 (r) | FAST    |    0.135 |
-------------------+-------------+---------+-------------+---------+----------+



